Gesture        t_emg (s)      t_pred (s)     t_servo (s)    lat_pred (s)   lat_servo (s)  
relax          33.017856      0.000000       33.363931      0.000000       0.346075       
wrist_left     34.835549      34.920665      35.181907      0.085116       0.261243       
relax          35.238787      0.000000       35.584415      0.000000       0.345628       
ok             36.290076      36.410115      36.639780      0.120039       0.229665       
relax          37.400242      0.000000       37.748193      0.000000       0.347951       
ok             37.807922      37.893423      38.153795      0.085502       0.260372       
relax          38.571819      38.659239      38.918237      0.087420       0.258999       
wrist_right    40.330456      40.411761      40.675872      0.081305       0.264112       
relax          42.137076      0.000000       42.483467      0.000000       0.346392       
wrist_left     42.547331      42.665977      42.897141      0.118645       0.231164       
relax          43.662021      0.000000       44.008072      0.000000       0.346051       
wrist_right    50.725178      50.806437      51.070900      0.081259       0.264463       
relax          52.638002      0.000000       52.983557      0.000000       0.345554       
ring           53.400809      53.481938      53.746743      0.081128       0.264806       
relax          53.814247      0.000000       54.162310      0.000000       0.348063       
wrist_left     54.225048      54.305298      54.570977      0.080250       0.265679       
relax          54.988138      0.000000       55.334189      0.000000       0.346051       
ok             57.511012      57.596639      57.856427      0.085627       0.259789       
relax          57.922113      0.000000       58.267993      0.000000       0.345880       
wrist_left     58.972451      59.058355      59.317566      0.085904       0.259211       
wrist_down     59.737570      59.823402      60.083429      0.085833       0.260027       
ring           65.747084      65.826759      66.092227      0.079675       0.265468       
wrist_right    66.149030      66.229488      66.493402      0.080458       0.263913       
relax          67.611152      0.000000       67.956671      0.000000       0.345519       
wrist_left     68.017149      68.096834      68.360960      0.079685       0.264126       
relax          68.415020      68.501320      68.762745      0.086300       0.261426       
wrist_left     69.178050      69.259034      69.523037      0.080984       0.264003       
wrist_right    70.934681      71.015248      71.281274      0.080568       0.266025       
relax          71.349240      71.434229      71.694113      0.084989       0.259885       
fist           72.467401      72.553839      72.812607      0.086437       0.258768       
middle         74.218979      74.304773      74.566987      0.085793       0.262215       
relax          74.980935      0.000000       75.333653      0.000000       0.352718       
index          75.740497      75.835568      76.086693      0.095070       0.251125       
relax          77.553683      77.638180      77.900374      0.084497       0.262194       
little         78.320374      78.405364      78.664267      0.084989       0.258904       
ring           80.066291      80.152324      80.411059      0.086032       0.258736       
relax          80.469763      0.000000       80.815499      0.000000       0.345737       
ok             80.883634      80.963148      81.229200      0.079513       0.266052       
relax          81.234152      0.000000       81.587275      0.000000       0.353123       
index          86.909536      86.990333      87.253905      0.080797       0.263571       
relax          87.964731      0.000000       88.309749      0.000000       0.345018       
index          89.069987      89.155384      89.415363      0.085397       0.259979       
wrist_right    91.241367      91.321575      91.585810      0.080208       0.264235       
thumb          91.654009      91.739847      91.999785      0.085838       0.259938       
relax          92.357962      0.000000       92.703918      0.000000       0.345956       
index          94.174172      94.254933      94.520322      0.080762       0.265389       
relax          95.227532      0.000000       95.574357      0.000000       0.346825       
index          95.579226      95.663143      95.926156      0.083916       0.263013       
fist           97.049896      97.130645      97.395741      0.080749       0.265096       
index          97.803794      97.889717      98.150019      0.085924       0.260301       
fist           99.617932      99.730070      99.968844      0.112138       0.238774       
relax          99.972899      0.000000       100.320955     0.000000       0.348056       
ring           100.385654     100.466860     100.731878     0.081206       0.265018       
fist           100.736304     100.823182     101.085881     0.086879       0.262698       
relax          101.146402     0.000000       101.494793     0.000000       0.348392       
index          102.564605     102.679645     102.921839     0.115040       0.242194       
thumb          104.707586     104.789265     105.060256     0.081679       0.270991       
relax          105.479015     0.000000       105.833116     0.000000       0.354101       
thumb          106.980325     107.067362     107.334123     0.087037       0.266761       
relax          107.390860     0.000000       107.743708     0.000000       0.352848       
little         107.804672     107.887341     108.159251     0.082669       0.271910       
relax          111.443673     0.000000       111.797367     0.000000       0.353695       
little         114.012441     114.099308     114.366041     0.086867       0.266733       
relax          114.431979     0.000000       114.786262     0.000000       0.354283       
little         115.554774     115.668927     115.912516     0.114153       0.243589       
ring           115.917512     116.004606     116.270819     0.087093       0.266213       
relax          117.048188     0.000000       117.404108     0.000000       0.355920       
ring           117.832344     117.917205     118.185303     0.084861       0.268098       
relax          118.606890     0.000000       118.965340     0.000000       0.358450       
middle         118.970270     119.056682     119.323209     0.086412       0.266527       
thumb          121.118599     121.202938     121.471968     0.084339       0.269031       
index          121.476641     121.596953     121.835147     0.120312       0.238194       
relax          121.901926     0.000000       122.256361     0.000000       0.354435       
index          122.261012     122.349019     122.615060     0.088007       0.266041       
relax          124.112919     124.199863     124.465165     0.086944       0.265303       
index          124.826542     124.948799     125.183915     0.122257       0.235116       
relax          125.245189     0.000000       125.596818     0.000000       0.351629       
little         127.094687     127.176273     127.447325     0.081586       0.271052       
relax          127.513066     0.000000       127.864842     0.000000       0.351776       
index          132.156664     132.238089     132.509336     0.081425       0.271247       
relax          133.637237     0.000000       133.990234     0.000000       0.352997       
little         139.841175     139.921548     140.193885     0.080373       0.272337       
relax          140.608916     0.000000       140.962240     0.000000       0.353324       
little         141.017014     141.097439     141.369305     0.080425       0.271866       
relax          141.792059     0.000000       142.144705     0.000000       0.352646       
ok             146.495019     146.577723     146.850959     0.082704       0.273236       
relax          146.917192     0.000000       147.270159     0.000000       0.352968       
fist           148.049659     148.131743     148.402393     0.082084       0.270650       
relax          148.470084     0.000000       148.823918     0.000000       0.353834       
ring           149.596070     149.677881     149.950015     0.081811       0.272135       
relax          150.010953     0.000000       150.364446     0.000000       0.353493       
ring           2.312641       2.379323       2.733593       0.066682       0.354270       
relax          5.801533       0.000000       6.140643       0.000000       0.339110       
wrist_right    7.578227       7.681744       7.915431       0.103517       0.233687       
open           8.314003       8.403192       8.653658       0.089189       0.250466       
wrist_left     10.081704      10.184033      10.416943      0.102329       0.232910       
open           11.461123      11.592810      11.808933      0.131687       0.216123       
fist           13.194680      13.288792      13.534887      0.094112       0.246095       
relax          14.232011      0.000000       14.578732      0.000000       0.346721       
ring           14.583354      14.677807      14.927798      0.094453       0.249991       
relax          14.995355      15.075004      15.339666      0.079649       0.264662       
fist           22.308891      22.394705      22.651003      0.085814       0.256298       
relax          22.712676      0.000000       23.057622      0.000000       0.344947       
index          23.126627      23.247985      23.474050      0.121358       0.226065       
relax          23.540481      0.000000       23.883165      0.000000       0.342683       
fist           23.887843      23.979004      24.230746      0.091160       0.251743       
relax          24.634779      0.000000       24.979373      0.000000       0.344594       
thumb          25.395860      25.481603      25.739442      0.085743       0.257838       
index          26.862420      26.959309      27.208389      0.096888       0.249081       
thumb          27.213100      27.299488      27.557896      0.086387       0.258409       
relax          27.961358      0.000000       28.305208      0.000000       0.343851       
ring           28.359858      28.455538      28.703283      0.095680       0.247745       
ok             28.769554      28.860656      29.114325      0.091102       0.253670       
relax          31.910719      0.000000       32.254419      0.000000       0.343701       
thumb          32.258983      32.387289      32.607210      0.128307       0.219921       
relax          32.665251      0.000000       33.008219      0.000000       0.342968       
index          34.059296      34.139161      34.402915      0.079865       0.263754       
relax          34.458338      0.000000       34.801443      0.000000       0.343106       
little         35.215719      35.296251      35.559504      0.080532       0.263253       
ring           37.376112      37.462327      37.720349      0.086215       0.258021       
relax          38.424512      0.000000       38.773547      0.000000       0.349035       
middle         39.476516      39.562697      39.822240      0.086181       0.259542       
thumb          41.276875      41.354296      41.619970      0.077421       0.265674       
relax          41.624884      0.000000       41.974264      0.000000       0.349380       
index          41.978962      42.064849      42.324378      0.085887       0.259529       
relax          43.724154      0.000000       44.069818      0.000000       0.345664       
thumb          44.473261      44.595260      44.821703      0.121999       0.226444       
relax          44.887432      0.000000       45.230188      0.000000       0.342756       
wrist_right    45.286296      45.370939      45.629047      0.084644       0.258108       
relax          45.684250      0.000000       46.027626      0.000000       0.343376       
ring           46.383660      46.470078      46.727875      0.086418       0.257798       
relax          46.793455      0.000000       47.136585      0.000000       0.343130       
fist           48.995164      49.081302      49.338690      0.086137       0.257388       
relax          50.737355      0.000000       51.185333      0.000000       0.447978       
ok             52.300139      52.386302      52.643639      0.086163       0.257337       
relax          53.410230      0.000000       53.753437      0.000000       0.343207       
ok             54.165184      54.250122      54.507682      0.084937       0.257560       
relax          54.577144      0.000000       54.922324      0.000000       0.345180       
ok             54.990884      55.076701      55.334792      0.085817       0.258091       
open           55.402830      55.518123      55.749686      0.115293       0.231564       
wrist_right    58.956226      59.041341      59.301182      0.085115       0.259842       
relax          59.305782      0.000000       59.649512      0.000000       0.343730       
fist           62.508098      62.588711      62.851419      0.080612       0.262708       
index          63.904596      63.990380      64.249794      0.085785       0.259414       
ring           64.318088      64.436492      64.668876      0.118404       0.232384       
relax          64.673481      0.000000       65.019663      0.000000       0.346182       
ok             65.431553      65.511983      65.777154      0.080429       0.265172       
relax          65.782291      0.000000       66.126782      0.000000       0.344490       
ok             66.188260      66.272952      66.532311      0.084691       0.259360       
relax          70.034763      0.000000       70.380436      0.000000       0.345673       
little         70.738064      70.832241      71.082826      0.094176       0.250585       
ring           73.178056      73.295390      73.526385      0.117334       0.230995       
relax          73.942212      0.000000       74.286192      0.000000       0.343980       
ring           75.692007      75.777614      76.037381      0.085607       0.259767       
relax          76.803229      0.000000       77.148013      0.000000       0.344784       
ring           77.152611      77.238239      77.497069      0.085628       0.258830       
relax          77.502097      0.000000       77.848719      0.000000       0.346621       
middle         77.908710      77.994272      78.253769      0.085562       0.259496       
relax          80.071868      0.000000       80.416241      0.000000       0.344373       
index          80.771162      80.856633      81.115613      0.085471       0.258980       
relax          81.171008      0.000000       81.515780      0.000000       0.344772       
ring           82.919900      83.005483      83.264352      0.085583       0.258869       
relax          83.268785      0.000000       83.612899      0.000000       0.344114       
thumb          83.674970      83.755820      84.020387      0.080849       0.264567       
relax          85.421028      0.000000       85.770664      0.000000       0.349636       
index          85.775364      85.861479      86.120237      0.086114       0.258758       
relax          86.474985      0.000000       86.820388      0.000000       0.345403       
index          86.877669      86.963607      87.222393      0.085938       0.258786       
relax          87.637567      0.000000       87.982477      0.000000       0.344910       
index          88.395355      88.526074      88.744178      0.130719       0.218104       
ok             88.806655      88.891878      89.149749      0.085223       0.257871       
relax          91.313585      0.000000       91.663969      0.000000       0.350385       
fist           91.722738      91.806404      92.067047      0.083666       0.260643       
relax          92.833592      0.000000       93.179659      0.000000       0.346067       
index          93.536719      93.623895      93.884248      0.087177       0.260353       
relax          94.639311      0.000000       94.991575      0.000000       0.352263       
index          95.399435      95.489734      95.744063      0.090299       0.254328       
relax          95.748737      0.000000       96.095085      0.000000       0.346348       
thumb          96.155843      96.236500      96.499656      0.080657       0.263156       
relax          96.566749      0.000000       96.911616      0.000000       0.344867       
index          98.018159      98.103863      98.363275      0.085704       0.259412       
relax          98.421810      0.000000       98.765925      0.000000       0.344115       
ring           99.181190      99.267168      99.524789      0.085978       0.257621       
ok             99.942769      100.028600     100.287862     0.085831       0.259262       
relax          100.342796     0.000000       100.686171     0.000000       0.343375       
ring           101.095663     101.180968     101.440913     0.085305       0.259946       
relax          101.853574     0.000000       102.200238     0.000000       0.346663       
thumb          102.562527     102.650399     102.912026     0.087872       0.261627       
relax          102.916987     0.000000       103.265692     0.000000       0.348705       
thumb          103.677294     103.759451     104.027466     0.082157       0.268015       
relax          104.444597     0.000000       104.797459     0.000000       0.352863       
fist           110.509124     110.591312     110.860890     0.082188       0.269579       
relax          110.919473     0.000000       111.273123     0.000000       0.353650       
little         114.841584     114.928026     115.192892     0.086442       0.264866       
relax          115.197472     0.000000       115.547442     0.000000       0.349970       
ring           115.551938     115.634135     115.904444     0.082197       0.270308       
relax          115.973961     0.000000       116.330116     0.000000       0.356155       
fist           118.821574     118.903373     119.173155     0.081799       0.269782       
relax          119.952658     0.000000       120.304045     0.000000       0.351388       
ring           121.073512     121.158889     121.425222     0.085377       0.266333       
ok             121.487072     121.569318     121.839027     0.082246       0.269709       
relax          121.843913     0.000000       122.197073     0.000000       0.353161       
wrist_right    123.336892     123.418811     123.688817     0.081919       0.270006       
relax          123.758011     0.000000       124.109571     0.000000       0.351560       
fist           124.114257     124.201129     124.465280     0.086872       0.264152       
relax          125.247832     0.000000       125.603283     0.000000       0.355451       
fist           127.082842     127.169257     127.433768     0.086415       0.264511       
relax          127.795434     0.000000       128.148604     0.000000       0.353170       
index          131.718294     131.996249     132.174348     0.277955       0.178099       
relax          132.237387     0.000000       132.585327     0.000000       0.347940       
index          134.073392     134.155379     134.424931     0.081986       0.269552       
relax          134.429468     0.000000       134.782137     0.000000       0.352669       
ok             135.209088     135.296612     135.561727     0.087524       0.265115       
relax          136.702784     0.000000       137.053098     0.000000       0.350314       
ok             137.118476     137.204510     137.469142     0.086034       0.264632       
relax          138.596298     0.000000       138.947936     0.000000       0.351638       
fist           139.004360     139.085959     139.355310     0.081599       0.269350       
relax          140.081366     0.000000       140.432634     0.000000       0.351268       
index          140.494440     140.576697     140.847161     0.082257       0.270464       
relax          142.696979     0.000000       143.047645     0.000000       0.350666       
fist           143.109377     143.190791     143.461257     0.081414       0.270466       
relax          143.523230     0.000000       143.874307     0.000000       0.351077       
fist           144.291372     144.378019     144.642833     0.086647       0.264814       
relax          147.867238     0.000000       148.219602     0.000000       0.352365       
fist           148.224250     148.308960     148.575253     0.084709       0.266293       
relax          148.640593     0.000000       148.999017     0.000000       0.358424       
ring           149.053469     149.135383     149.404424     0.081914       0.269040       
wrist_left     149.409460     149.483807     149.761377     0.074347       0.277570       
relax          149.829474     149.914029     150.180259     0.084555       0.266230       
wrist_right    151.606145     151.688052     151.957568     0.081907       0.269516       
relax          156.244980     156.330903     156.595632     0.085923       0.264729       
wrist_left     157.723956     157.836800     158.079555     0.112843       0.242755       
relax          158.844273     0.000000       159.196962     0.000000       0.352689       
wrist_right    159.201593     159.288662     159.554328     0.087069       0.265666       
relax          159.559606     159.641531     159.911300     0.081925       0.269769       
little         161.753364     161.839664     162.104526     0.086300       0.264862       
relax          162.108855     0.000000       162.459063     0.000000       0.350208       
little         162.521397     162.606198     162.873079     0.084802       0.266881       
ring           163.645499     163.727929     163.998077     0.082429       0.270149       
relax          164.002727     164.125400     164.360516     0.122672       0.235117       
ring           169.398529     169.480482     169.751201     0.081954       0.270719       
wrist_right    169.818946     169.897777     170.169548     0.078831       0.271771       
relax          171.605653     0.000000       171.957813     0.000000       0.352160       
wrist_left     173.027871     173.114687     173.378994     0.086816       0.264307       
relax          173.792810     0.000000       174.145707     0.000000       0.352897       
wrist_left     174.150389     174.237458     174.502328     0.087068       0.264870       
relax          174.559267     174.644162     174.909712     0.084895       0.265549       
wrist_right    176.687923     176.800829     177.042746     0.112907       0.241916       
relax          177.460074     0.000000       177.811109     0.000000       0.351035       
fist           184.201001     184.281373     184.550734     0.080372       0.269361       
relax          185.978711     0.000000       186.337191     0.000000       0.358480       
fist           188.181019     188.262342     188.532269     0.081323       0.269927       
relax          189.675855     0.000000       190.030163     0.000000       0.354308       
fist           191.819672     191.906284     192.170365     0.086611       0.264081       
relax          193.659263     0.000000       194.011668     0.000000       0.352405       
ok             194.375321     194.449766     194.727472     0.074445       0.277706       
open           194.783163     194.864460     195.135443     0.081298       0.270982       
wrist_right    200.822733     200.907224     201.172323     0.084491       0.265099       
relax          201.531354     0.000000       201.887068     0.000000       0.355713       
wrist_left     203.016644     203.102656     203.368340     0.086012       0.265685       
relax          204.086865     204.167360     204.437994     0.080495       0.270634       
wrist_right    206.285697     206.371343     206.635729     0.085646       0.264385       
relax          206.996961     0.000000       207.346477     0.000000       0.349517       
wrist_left     208.777000     208.863432     209.127258     0.086432       0.263826       
little         209.549483     209.630950     209.900978     0.081467       0.270028       
relax          209.956607     210.037851     210.306310     0.081244       0.268459       
wrist_right    226.741229     226.827299     227.090409     0.086071       0.263110       
relax          228.163718     228.246844     228.513069     0.083126       0.266225       
wrist_left     230.001516     230.082810     230.351380     0.081294       0.268570       
relax          231.071803     0.000000       231.422172     0.000000       0.350369       
wrist_right    231.427151     231.508292     231.779517     0.081141       0.271226       
relax          231.842066     231.928652     232.194819     0.086587       0.266166       
fist           232.967309     233.042514     233.317908     0.075205       0.275394       
relax          234.758441     0.000000       235.112358     0.000000       0.353917       
little         235.116991     235.205116     235.471282     0.088124       0.266166       
relax          235.535269     235.609055     235.889635     0.073787       0.280580       
thumb          238.093087     238.173677     238.442961     0.080590       0.269285       
relax          238.499282     0.000000       238.850613     0.000000       0.351331       
fist           253.331491     253.420788     253.686437     0.089297       0.265649       
relax          255.485999     0.000000       255.838573     0.000000       0.352573       
little         256.627195     256.717017     256.986486     0.089822       0.269469       
relax          257.769156     0.000000       258.126604     0.000000       0.357448       
wrist_right    258.864419     258.952860     259.223896     0.088441       0.271035       
relax          259.281744     259.397841     259.644372     0.116097       0.246531       
index          260.012014     260.102199     260.369508     0.090185       0.267309       
ring           261.816863     261.900432     262.175435     0.083569       0.275003       
relax          262.548365     262.633023     262.907750     0.084658       0.274727       
ok             263.272305     263.359785     263.626631     0.087481       0.266846       
relax          263.688812     0.000000       264.041661     0.000000       0.352849       
ok             264.101720     264.188400     264.452605     0.086680       0.264205       
ring           265.890255     265.972144     266.253062     0.081890       0.280918       
relax          266.258238     0.000000       266.621240     0.000000       0.363001       
ring           266.681129     266.764868     267.038894     0.083739       0.274026       
relax          267.108845     0.000000       267.465252     0.000000       0.356407       
wrist_right    267.470735     267.557920     267.828954     0.087185       0.271034       
relax          269.283526     0.000000       269.641924     0.000000       0.358399       
wrist_left     270.786453     270.874352     271.140526     0.087900       0.266174       
wrist_right    271.932436     272.014913     272.289903     0.082477       0.274990       
relax          272.352544     272.435355     272.708754     0.082811       0.273399       
wrist_right    274.171789     274.258697     274.528301     0.086908       0.269605       
relax          275.693439     0.000000       276.052133     0.000000       0.358694       
index          276.433750     276.515089     276.790560     0.081338       0.275471       
relax          276.855689     0.000000       277.215877     0.000000       0.360188       
index          277.283508     277.366598     277.639719     0.083089       0.273121       
relax          279.182559     0.000000       279.545548     0.000000       0.362989       
wrist_left     281.776911     281.864254     282.132890     0.087343       0.268636       
relax          282.190392     0.000000       282.554399     0.000000       0.364007       
little         282.620075     282.705494     282.982749     0.085420       0.277254       
relax          282.991518     0.000000       283.358776     0.000000       0.367257       
little         284.091120     284.171214     284.448705     0.080093       0.277491       
relax          284.453477     0.000000       284.815165     0.000000       0.361688       
wrist_left     284.819684     284.905374     285.174808     0.085690       0.269435       
relax          285.230301     0.000000       285.587634     0.000000       0.357333       
little         285.643272     285.726486     286.009270     0.083214       0.282784       
ring           286.013563     286.110121     286.369876     0.096558       0.259755       
relax          286.436233     0.000000       286.796716     0.000000       0.360483       
thumb          286.801814     286.892195     287.164553     0.090381       0.272358       
little         287.229158     287.312511     287.590125     0.083353       0.277614       
relax          287.967555     0.000000       288.329129     0.000000       0.361574       
little         288.333659     288.424371     288.695269     0.090711       0.270899       
relax          289.065929     0.000000       289.425361     0.000000       0.359432       
ring           289.430665     289.520134     289.791851     0.089469       0.271717       
relax          290.226443     0.000000       290.587113     0.000000       0.360670       
ring           290.652749     290.764271     291.017219     0.111522       0.252948       
relax          291.445298     0.000000       291.806894     0.000000       0.361597       
ring           292.241436     292.324432     292.600715     0.082996       0.276283       
relax          292.971900     0.000000       293.333746     0.000000       0.361847       
ring           294.134040     294.217909     294.496137     0.083869       0.278228       
wrist_right    294.868033     294.952510     295.228197     0.084477       0.275687       
relax          295.292268     295.381820     295.652534     0.089553       0.270714       
thumb          307.499166     307.615010     307.864239     0.115844       0.249229       
relax          308.657496     0.000000       309.016904     0.000000       0.359408       
thumb          311.274697     311.363539     311.633369     0.088842       0.269830       
relax          311.701499     0.000000       312.058595     0.000000       0.357097       
thumb          312.476496     312.566502     312.835826     0.090006       0.269324       
relax          313.616632     0.000000       313.975587     0.000000       0.358954       
index          316.877432     316.965110     317.231391     0.087678       0.266280       
ring           318.689337     318.774580     319.047741     0.085244       0.273161       
relax          319.417435     319.504802     319.775291     0.087367       0.270489       
middle         321.233943     321.316973     321.589968     0.083029       0.272996       
ring           322.735533     322.825280     323.092675     0.089747       0.267395       
relax          323.156958     323.239905     323.513880     0.082947       0.273975       
little         325.750586     325.833108     326.106570     0.082521       0.273462       
relax          327.192965     0.000000       327.546556     0.000000       0.353591       
ring           329.753226     329.867380     330.111525     0.114154       0.244145       
relax          330.116063     0.000000       330.470606     0.000000       0.354543       
ring           334.492966     334.579085     334.848449     0.086120       0.269363       
relax          335.214260     0.000000       335.568930     0.000000       0.354670       
ring           335.630620     335.712559     335.985869     0.081939       0.273310       
relax          336.765576     0.000000       337.120965     0.000000       0.355389       
ring           341.132972     341.221296     341.488047     0.088323       0.266752       
relax          341.913015     0.000000       342.268360     0.000000       0.355345       
little         343.356018     343.434969     343.709526     0.078952       0.274557       
relax          343.765724     0.000000       344.120732     0.000000       0.355008       
ok             344.841389     344.923434     345.194334     0.082045       0.270900       
relax          345.974404     0.000000       346.327501     0.000000       0.353097       
wrist_right    346.396745     346.482966     346.749558     0.086220       0.266593       
ring           348.603881     348.713356     348.962488     0.109476       0.249131       
wrist_left     349.027555     349.109760     349.380094     0.082205       0.270334       
relax          350.155641     0.000000       350.510727     0.000000       0.355087       
ok             351.956708     352.043038     352.308686     0.086330       0.265648       
wrist_right    352.365557     352.447143     352.717157     0.081586       0.270014       
relax          353.499150     0.000000       353.851982     0.000000       0.352832       
ring           354.571934     354.681023     354.930197     0.109089       0.249174       
ok             354.934806     355.017473     355.288234     0.082667       0.270762       
relax          358.567578     0.000000       358.921118     0.000000       0.353540       
ok             360.060913     360.142823     360.413556     0.081910       0.270733       
relax          361.138927     0.000000       361.492236     0.000000       0.353308       
ok             361.555091     361.637124     361.909247     0.082034       0.272122       
relax          361.968928     0.000000       362.322686     0.000000       0.353758       
ok             363.450658     363.527098     363.806256     0.076440       0.279158       
open           363.811445     363.924647     364.170942     0.113202       0.246294       
ok             364.589851     364.672123     364.944095     0.082272       0.271972       
relax          371.404009     371.486083     371.756279     0.082074       0.270196       
fist           374.681910     374.767070     375.034577     0.085160       0.267507       
relax          375.399449     0.000000       375.753149     0.000000       0.353700       
index          376.117079     376.240579     376.477896     0.123501       0.237317       
fist           376.900429     376.982966     377.258770     0.082537       0.275804       
relax          378.754902     0.000000       379.109307     0.000000       0.354404       
thumb          379.172253     379.289077     379.533595     0.116824       0.244518       
relax          379.538348     0.000000       380.000243     0.000000       0.461895       
index          380.415912     380.498115     380.769850     0.082203       0.271735       
relax          382.211517     0.000000       382.563964     0.000000       0.352447       
thumb          384.002300     384.115574     384.360216     0.113274       0.244642       
relax          384.725461     0.000000       385.079118     0.000000       0.353658       
index          385.442552     385.525561     385.797428     0.083008       0.271868       
relax          385.857272     0.000000       386.212173     0.000000       0.354900       
index          386.272099     386.358205     386.635192     0.086106       0.276987       
relax          387.061992     0.000000       387.426512     0.000000       0.364520       
thumb          387.793089     387.881038     388.149352     0.087949       0.268314       
ring           388.206076     388.295688     388.567881     0.089611       0.272193       
relax          388.990945     0.000000       389.342686     0.000000       0.351741       
fist           392.262041     392.343011     392.611842     0.080971       0.268830       
relax          394.104205     0.000000       394.455842     0.000000       0.351637       
ring           394.460898     394.548684     394.814803     0.087787       0.266119       
relax          394.819562     394.907525     395.173199     0.087963       0.265674       
ok             404.852429     404.936113     405.201888     0.083684       0.265775       
relax          405.270208     0.000000       405.619745     0.000000       0.349538       
fist           405.624388     405.755516     405.981591     0.131129       0.226075       
relax          407.114160     0.000000       407.467398     0.000000       0.353238       
ring           407.471940     407.554358     407.825405     0.082419       0.271046       
relax          407.882137     0.000000       408.234518     0.000000       0.352381       
wrist_left     417.132499     417.212810     417.480622     0.080310       0.267812       
relax          418.610857     0.000000       418.961731     0.000000       0.350874       
wrist_right    420.085037     420.171946     420.436993     0.086909       0.265046       
relax          421.514261     0.000000       421.864385     0.000000       0.350124       
index          423.344839     423.426801     423.694935     0.081963       0.268134       
ring           425.184327     425.265953     425.534495     0.081626       0.268542       
relax          425.952490     426.038807     426.302801     0.086317       0.263994       
little         427.787733     427.868339     428.139830     0.080606       0.271491       
relax          428.196035     0.000000       428.546417     0.000000       0.350382       
little         428.966133     429.048638     429.318995     0.082505       0.270357       
ring           430.755305     430.836479     431.105979     0.081174       0.269500       
relax          431.110542     0.000000       431.462394     0.000000       0.351852       
index          435.089596     435.170737     435.440283     0.081141       0.269546       
relax          435.803005     0.000000       436.155460     0.000000       0.352455       
index          436.160075     436.283352     436.518777     0.123278       0.235424       
relax          436.523345     0.000000       436.875605     0.000000       0.352259       
ring           438.369810     438.447934     438.722161     0.078124       0.274227       
relax          438.727090     0.000000       439.080158     0.000000       0.353068       
ok             442.012433     442.099044     442.366842     0.086611       0.267798       
relax          442.798314     0.000000       443.165121     0.000000       0.366807       
fist           5.826921       5.952610       6.167505       0.125689       0.214895       
relax          8.312781       0.000000       8.654476       0.000000       0.341695       
wrist_right    8.659303       8.787532       9.005370       0.128230       0.217838       
relax          9.010067       0.000000       9.352270       0.000000       0.342204       
fist           3.953341       4.045627       4.366198       0.092286       0.320571       
relax          4.426693       0.000000       4.840786       0.000000       0.414093       
fist           7.765213       7.866234       8.104067       0.101021       0.237833       
relax          10.582295      0.000000       10.927008      0.000000       0.344712       
index          19.437899      19.529672      19.805809      0.091774       0.276136       
ring           23.379745      23.462267      23.728174      0.082522       0.265908       
relax          23.786698      0.000000       24.136662      0.000000       0.349964       
little         36.839280      36.925202      37.185652      0.085922       0.260449       
thumb          37.606682      37.692974      37.954559      0.086293       0.261584       
relax          38.015706      0.000000       38.363833      0.000000       0.348126       
little         38.427496      38.513780      38.775282      0.086283       0.261502       
relax          44.506073      0.000000       44.854176      0.000000       0.348104       
wrist_right    46.692737      46.779921      47.039067      0.087183       0.259147       
relax          48.144488      48.273314      48.495171      0.128826       0.221857       
wrist_left     58.887739      58.978869      59.231699      0.091130       0.252830       
