Gesture        t_emg (s)      t_pred (s)     t_servo (s)    lat_pred (s)   lat_servo (s)  
=====================================================================================
wrist_right    3.493171       3.573938       3.880400       0.080766       0.306462       
relax          5.881832       0.000000       6.219239       0.000000       0.337408       
wrist_right    6.277151       6.362099       6.613804       0.084948       0.251705       
relax          7.016734       0.000000       7.353379       0.000000       0.336646       
wrist_right    7.700132       7.801983       8.038450       0.101851       0.236467       
wrist_left     8.102402       8.202744       8.439245       0.100342       0.236501       
relax          9.186087       0.000000       9.523974       0.000000       0.337887       
fist           9.589326       9.682576       9.925502       0.093250       0.242926       
relax          11.369412      0.000000       11.717710      0.000000       0.348298       
ring           11.782537      11.863877      12.125330      0.081340       0.261453       
relax          12.130385      12.225104      12.475931      0.094719       0.250827       
fist           14.616982      14.744763      14.965659      0.127781       0.220896       
ring           16.369128      16.457484      16.718398      0.088356       0.260914       
relax          16.781170      0.000000       17.127671      0.000000       0.346501       
fist           19.299097      19.384312      19.642770      0.085214       0.258458       
ring           21.106194      21.192943      21.454472      0.086749       0.261529       
wrist_left     21.872039      21.957881      22.219339      0.085842       0.261458       
relax          22.282359      0.000000       22.628552      0.000000       0.346193       
little         23.743406      23.850748      24.094903      0.107342       0.244155       
open           25.555480      25.635643      25.903366      0.080163       0.267723       
ring           25.908304      25.995308      26.255693      0.087004       0.260385       
wrist_up       26.319643      26.399732      26.665423      0.080089       0.265691       
ring           27.088986      27.173395      27.435480      0.084408       0.262085       
relax          27.848092      0.000000       28.193386      0.000000       0.345294       
ring           28.259367      28.344662      28.606565      0.085295       0.261902       
relax          28.672336      0.000000       29.017829      0.000000       0.345493       
middle         29.434307      29.520124      29.780457      0.085816       0.260333       
ring           30.196112      30.317519      30.548306      0.121407       0.230787       
middle         30.553128      30.633471      30.900322      0.080343       0.266851       
relax          30.955211      0.000000       31.301408      0.000000       0.346197       
thumb          31.368143      31.453954      31.715103      0.085810       0.261149       
wrist_left     31.779026      31.864708      32.125277      0.085682       0.260569       
relax          32.192883      0.000000       32.538983      0.000000       0.346100       
wrist_left     32.604764      32.685044      32.950547      0.080281       0.265503       
