emg_0,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,timestamp,label,gesture
-15,-20,-8,14,20,8,16,6,1782738798.797102,1,fist
-40,-105,-22,-26,-22,-21,-37,-8,1782738798.797102,1,fist
-36,-11,15,13,-13,-4,-5,-22,1782738798.797663,1,fist
29,20,-9,-1,1,1,2,18,1782738798.797663,1,fist
77,39,-25,7,-1,9,23,-2,1782738798.8122082,1,fist
-28,19,14,4,2,-17,-29,-71,1782738798.8122082,1,fist
-106,-58,-5,-34,-7,6,0,13,1782738798.82744,1,fist
-28,-77,-5,-3,-2,-1,2,22,1782738798.82744,1,fist
46,65,8,6,-6,1,1,16,1782738798.8276742,1,fist
27,55,-2,14,21,-2,13,2,1782738798.8276742,1,fist
56,12,22,-29,-18,4,7,26,1782738798.841953,1,fist
34,68,5,-1,5,7,8,15,1782738798.841953,1,fist
-118,-90,-13,53,2,-25,-39,-56,1782738798.857288,1,fist
34,-19,16,-23,-11,1,11,13,1782738798.857288,1,fist
36,66,-19,-19,-9,-12,-12,-28,1782738798.8579059,1,fist
-10,-73,11,-23,13,-2,-5,4,1782738798.8579059,1,fist
-13,-52,18,1,-15,2,5,0,1782738798.8717492,1,fist
70,50,-27,17,11,-2,-1,4,1782738798.8717492,1,fist
-38,-31,-7,2,4,0,-9,-20,1782738798.8870301,1,fist
-11,-12,-5,-24,-21,-5,-2,-7,1782738798.8870301,1,fist
-61,-33,-6,11,2,1,-10,7,1782738798.8871832,1,fist
-15,59,17,37,6,3,-1,-8,1782738798.8871832,1,fist
72,95,2,24,16,17,21,21,1782738798.901589,1,fist
-128,-29,-11,-18,5,-8,-19,-20,1782738798.901589,1,fist
114,65,21,-30,2,14,24,76,1782738798.917152,1,fist
16,21,-11,4,-15,-17,-25,-38,1782738798.917152,1,fist
5,-11,19,37,8,10,28,-2,1782738798.917332,1,fist
-123,-88,10,-24,-19,-19,-37,-48,1782738798.917332,1,fist
-5,-99,-16,45,13,7,16,37,1782738798.932535,1,fist
26,8,22,-4,2,8,5,38,1782738798.932535,1,fist
92,-39,-7,-13,9,-2,1,-5,1782738798.94743,1,fist
-47,91,-6,-6,-4,1,11,0,1782738798.94743,1,fist
-22,21,-3,10,-15,-13,-28,-36,1782738798.947629,1,fist
59,37,11,-13,14,6,7,-2,1782738798.947629,1,fist
-47,-69,-10,-16,-11,-4,-19,-1,1782738798.962265,1,fist
127,61,-3,45,9,14,32,52,1782738798.962265,1,fist
68,-12,5,-19,-8,-8,-7,-7,1782738798.977498,1,fist
-65,-128,-11,-14,-13,-13,-9,-43,1782738798.977498,1,fist
75,32,9,6,-1,1,8,39,1782738798.9782982,1,fist
112,55,1,30,13,11,6,-13,1782738798.9782982,1,fist
-75,39,-15,-31,-3,-5,-1,11,1782738798.992526,1,fist
29,79,26,8,0,9,12,38,1782738798.992526,1,fist
-58,-36,-4,-14,-6,-8,-5,-13,1782738799.00723,1,fist
61,-25,-36,-9,0,5,4,15,1782738799.00723,1,fist
-12,44,30,14,-2,3,9,4,1782738799.007371,1,fist
-22,4,-28,25,10,2,-7,-5,1782738799.007371,1,fist
-19,108,32,-20,-4,6,19,36,1782738799.022068,1,fist
-31,-72,1,21,-7,-19,-33,-48,1782738799.022068,1,fist
127,41,0,-23,7,9,10,8,1782738799.0375302,1,fist
-104,-116,-12,-37,-5,3,-3,-10,1782738799.0375302,1,fist
-83,-91,-10,4,-1,-3,-3,-11,1782738799.0377321,1,fist
34,-10,5,15,7,3,9,21,1782738799.0377321,1,fist
20,28,-8,11,9,5,0,-23,1782738799.0521228,1,fist
-18,-45,9,-19,-7,-3,-3,2,1782738799.0521228,1,fist
18,-20,-9,-1,2,-1,4,-4,1782738799.067429,1,fist
-105,31,11,-5,-13,-9,-1,-7,1782738799.067429,1,fist
76,40,-8,8,8,1,-4,6,1782738799.067691,1,fist
-32,-4,-1,18,3,1,-4,-3,1782738799.067691,1,fist
12,17,-11,-8,-5,-6,0,-12,1782738799.081741,1,fist
-92,28,4,-14,-1,-2,-4,-6,1782738799.081741,1,fist
58,88,22,-15,-18,-5,-5,36,1782738799.097568,1,fist
0,14,-22,40,11,-1,-2,-66,1782738799.097568,1,fist
42,23,2,-28,-2,-1,-12,21,1782738799.0980191,1,fist
-50,-40,4,12,3,3,-7,-18,1782738799.0980191,1,fist
11,31,-4,-5,-2,0,0,-10,1782738799.112236,1,fist
16,48,22,9,5,5,17,51,1782738799.112236,1,fist
66,29,-8,5,-2,1,-4,-15,1782738799.127676,1,fist
12,15,-4,-4,1,5,17,31,1782738799.127676,1,fist
-97,-59,-10,-34,-14,-14,-32,-55,1782738799.128654,1,fist
91,-11,11,2,-6,1,10,37,1782738799.128654,1,fist
-53,-19,0,22,3,-2,-5,-22,1782738799.142259,1,fist
106,72,-6,-19,0,6,11,22,1782738799.142259,1,fist
30,2,6,46,9,2,9,18,1782738799.157685,1,fist
-78,-78,-11,-45,-11,0,-10,-26,1782738799.157685,1,fist
54,10,9,13,10,3,3,2,1782738799.157834,1,fist
19,10,-7,-35,-11,3,1,8,1782738799.157834,1,fist
51,-29,-12,-2,-11,-2,19,32,1782738799.172412,1,fist
73,53,1,13,12,-2,-31,-28,1782738799.172412,1,fist
-17,-17,-17,-11,-9,-16,-17,-46,1782738799.1880162,1,fist
-49,19,3,1,-2,2,-1,17,1782738799.1880162,1,fist
34,23,9,3,7,-2,-4,-32,1782738799.188315,1,fist
-35,-86,6,0,-4,-2,13,1,1782738799.188315,1,fist
-5,-5,-16,19,8,-2,-9,2,1782738799.2018628,1,fist
92,-21,5,-4,-8,1,8,25,1782738799.2018628,1,fist
2,54,-42,-78,-23,-1,-10,-52,1782738799.2188501,1,fist
-63,32,15,34,7,6,23,50,1782738799.2188501,1,fist
47,68,37,16,-3,-4,-13,-35,1782738799.218876,1,fist
-118,-114,-25,29,1,-17,-20,-74,1782738799.218876,1,fist
68,55,22,-18,9,7,10,39,1782738799.233838,1,fist
91,93,-5,-39,-16,2,10,15,1782738799.233838,1,fist
28,20,-5,1,2,2,10,17,1782738799.2487419,1,fist
27,24,12,15,8,1,3,23,1782738799.2487419,1,fist
-65,-53,-16,-3,-6,-6,-6,-5,1782738799.248929,1,fist
80,-28,6,18,-1,-8,-16,-55,1782738799.248929,1,fist
-50,21,3,-28,7,6,7,18,1782738799.2637281,1,fist
59,9,-5,7,-3,-4,-4,7,1782738799.2637281,1,fist
11,68,-5,12,12,7,-11,-37,1782738799.2805812,1,fist
7,-27,21,-1,-6,-10,-10,-4,1782738799.2805812,1,fist
32,45,-24,8,0,3,3,-3,1782738799.280648,1,fist
44,-7,13,10,-1,4,7,-3,1782738799.280648,1,fist
-29,15,-15,-3,6,5,2,23,1782738799.294404,1,fist
0,-3,2,14,6,2,10,13,1782738799.294404,1,fist
22,-112,-2,30,5,4,-2,9,1782738799.307276,1,fist
-75,73,-3,-68,-18,-10,-22,-12,1782738799.307276,1,fist
-36,-74,-3,26,2,4,14,17,1782738799.3074298,1,fist
52,41,-11,13,-5,-9,-14,-16,1782738799.3074298,1,fist
-51,-100,10,-12,0,-1,7,19,1782738799.325226,1,fist
4,-42,-12,11,4,1,5,-1,1782738799.325226,1,fist
40,12,13,-6,-5,1,-3,11,1782738799.337709,1,fist
-36,-49,-7,-20,3,-3,-6,-13,1782738799.337709,1,fist
21,107,14,-1,-1,0,6,13,1782738799.3377652,1,fist
