emg_0,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,timestamp,label,gesture
-1,-1,-2,-18,2,3,-1,-1,1782730244.229224,0,rest
1,0,1,26,6,-8,0,-1,1782730244.229224,0,rest
0,1,0,-4,-21,15,2,-1,1782730244.229307,0,rest
-1,0,1,-5,19,11,0,-2,1782730244.229307,0,rest
-2,-4,-10,-13,-22,-8,-3,-3,1782730244.230011,0,rest
1,0,7,-5,26,-2,1,0,1782730244.230011,0,rest
2,0,3,35,7,-4,-1,1,1782730244.2448058,0,rest
-2,-1,-3,-12,-11,-3,0,0,1782730244.2448058,0,rest
-2,2,0,7,-9,3,-3,-3,1782730244.2596638,0,rest
-3,-3,-8,-31,-14,-9,-5,-3,1782730244.2596638,0,rest
-1,0,2,6,-9,-1,-2,-1,1782730244.2597172,0,rest
1,0,-6,-63,-23,-3,-1,1,1782730244.2597172,0,rest
5,3,15,74,42,4,2,1,1782730244.274477,0,rest
-4,-4,-6,-31,-23,-6,-2,-2,1782730244.274477,0,rest
2,4,9,69,38,3,2,1,1782730244.2898612,0,rest
-3,-1,0,-5,-6,0,1,-1,1782730244.2898612,0,rest
-3,-4,-7,-45,-20,-7,-4,-4,1782730244.290087,0,rest
0,-3,-4,9,7,-6,-3,-1,1782730244.290087,0,rest
-1,-3,-2,-25,-3,3,3,2,1782730244.3045352,0,rest
2,5,4,19,4,3,1,0,1782730244.3045352,0,rest
-2,-3,-7,-8,-10,-4,-2,1,1782730244.3183239,0,rest
-4,-2,-1,-7,3,0,-3,-2,1782730244.3183239,0,rest
0,-1,-1,-27,-5,-13,0,1,1782730244.318399,0,rest
2,2,5,14,1,-1,-1,-1,1782730244.318399,0,rest
-4,-3,-4,-32,-11,0,1,0,1782730244.333097,0,rest
-5,-7,-13,-18,-21,-6,-5,-3,1782730244.333097,0,rest
2,7,15,75,26,6,3,0,1782730244.348382,0,rest
0,1,2,5,8,5,3,0,1782730244.348382,0,rest
-2,0,-2,1,-4,-4,-4,-3,1782730244.3491251,0,rest
-4,-5,-6,-20,-13,-9,-2,-5,1782730244.3491251,0,rest
0,-1,-5,-27,11,2,0,2,1782730244.36563,0,rest
2,0,3,-1,-3,4,2,1,1782730244.36563,0,rest
-1,-4,-10,-29,-11,-5,-4,-3,1782730244.379713,0,rest
-2,0,6,62,14,3,0,-2,1782730244.379713,0,rest
1,-1,-2,-24,-24,-5,-2,0,1782730244.3798459,0,rest
2,1,1,2,12,8,1,0,1782730244.3798459,0,rest
0,-4,-3,-29,-5,-4,-2,-5,1782730244.396356,0,rest
-4,-2,-4,-6,-15,-7,-4,-3,1782730244.396356,0,rest
0,-1,-2,-14,3,0,-3,-2,1782730244.410671,0,rest
3,3,3,4,23,6,3,3,1782730244.410671,0,rest
-2,0,3,11,3,-1,0,-1,1782730244.410974,0,rest
-6,-3,-4,11,9,1,-2,-2,1782730244.410974,0,rest
-2,3,-1,-13,-14,-5,-2,-2,1782730244.4237802,0,rest
3,1,-2,-14,-11,-2,1,-1,1782730244.4237802,0,rest
-4,-4,-5,-2,-4,29,2,1,1782730244.43869,0,rest
-1,-3,-3,5,-7,-1,-3,-3,1782730244.43869,0,rest
-1,-2,0,-38,-4,0,0,0,1782730244.438719,0,rest
1,0,3,5,-4,1,2,1,1782730244.438719,0,rest
2,1,1,10,4,-10,-3,2,1782730244.454645,0,rest
-1,-4,-3,-8,5,-3,-1,0,1782730244.454645,0,rest
-2,-2,-4,-8,-10,4,1,-2,1782730244.468933,0,rest
2,2,4,7,0,2,3,1,1782730244.468933,0,rest
0,1,-1,-6,-4,-8,-2,-2,1782730244.4696052,0,rest
-4,-4,-9,-50,-12,-7,-4,-3,1782730244.4696052,0,rest
3,3,8,74,16,-2,2,1,1782730244.483677,0,rest
0,0,-3,-20,-12,-1,-2,2,1782730244.483677,0,rest
-4,-3,-1,-25,-8,1,2,-1,1782730244.499409,0,rest
-2,0,5,54,28,5,1,0,1782730244.499409,0,rest
-2,-1,0,1,-7,0,-3,-3,1782730244.499529,0,rest
-1,1,2,-7,-12,-1,-2,-5,1782730244.499529,0,rest
-2,-1,-4,-14,0,0,-2,-1,1782730244.5161622,0,rest
-4,-2,-6,-18,-6,-5,-4,-3,1782730244.5161622,0,rest
0,-2,1,7,0,-1,-1,0,1782730244.528959,0,rest
1,-1,-4,-7,4,-16,1,4,1782730244.528959,0,rest
-2,-1,1,-30,-24,3,-3,-2,1782730244.529873,0,rest
-1,-1,3,31,20,3,0,-1,1782730244.529873,0,rest
-2,-3,-4,-19,-5,-3,-1,-1,1782730244.543342,0,rest
-1,2,-1,-19,-5,1,1,0,1782730244.543342,0,rest
0,1,-1,8,11,-3,-1,-1,1782730244.5590641,0,rest
-5,-8,-10,-13,-12,-7,-2,-2,1782730244.5590641,0,rest
1,3,7,1,21,10,0,-7,1782730244.559197,0,rest
4,2,2,8,-6,3,2,3,1782730244.559197,0,rest
-6,-4,-8,-64,-10,-6,-2,-3,1782730244.5768452,0,rest
0,6,19,90,67,18,3,1,1782730244.5768452,0,rest
-1,-3,-6,-37,-14,-6,-3,-1,1782730244.589657,0,rest
0,3,5,9,8,10,4,1,1782730244.589657,0,rest
-2,0,1,11,3,-8,-2,0,1782730244.589895,0,rest
-6,-8,-12,-62,-53,-14,-7,-5,1782730244.589895,0,rest
0,-1,-4,-5,-1,1,-1,0,1782730244.605281,0,rest
3,5,7,10,10,8,2,2,1782730244.605281,0,rest
2,-1,-1,24,3,-2,0,-1,1782730244.6199749,0,rest
-3,-3,-8,-12,-2,-7,-6,-5,1782730244.6199749,0,rest
0,-2,-2,8,2,-20,-1,1,1782730244.620163,0,rest
0,2,-1,-7,-17,8,1,1,1782730244.620163,0,rest
1,0,0,-25,-1,-3,-1,-1,1782730244.633491,0,rest
-4,-5,-3,2,6,-6,-1,-1,1782730244.633491,0,rest
0,0,-3,-16,-13,-5,-3,-1,1782730244.6491678,0,rest
3,2,3,6,10,2,2,1,1782730244.6491678,0,rest
-2,-2,0,13,2,-3,0,0,1782730244.649533,0,rest
-4,-4,-7,-42,-25,-9,-7,-9,1782730244.649533,0,rest
-3,-1,-2,-11,-4,5,1,0,1782730244.664039,0,rest
5,4,3,7,8,4,3,2,1782730244.664039,0,rest
0,2,1,18,3,2,0,1,1782730244.680599,0,rest
-7,-7,-12,-45,-24,-11,-4,-4,1782730244.680599,0,rest
-1,1,2,59,7,3,0,1,1782730244.6807702,0,rest
1,1,-4,-82,-21,1,1,1,1782730244.6807702,0,rest
5,5,14,101,49,8,2,2,1782730244.69696,0,rest
-4,-5,-3,-6,-4,-7,-4,-3,1782730244.69696,0,rest
0,-1,-2,-37,-10,1,-1,-2,1782730244.709758,0,rest
3,3,7,17,2,2,1,2,1782730244.709758,0,rest
-1,-3,-7,-28,-14,-3,-1,0,1782730244.7099142,0,rest
-4,-3,-6,-9,-5,-5,-4,-3,1782730244.7099142,0,rest
-1,-1,-1,0,-6,0,-3,-2,1782730244.7248058,0,rest
2,2,2,17,7,5,2,0,1782730244.7248058,0,rest
-1,-1,-6,-33,-8,-4,-3,-2,1782730244.7384682,0,rest
-3,-4,1,54,10,0,0,-2,1782730244.7384682,0,rest
-1,-3,-6,-33,-15,-5,-4,-2,1782730244.7385862,0,rest
2,6,12,58,27,9,5,2,1782730244.7385862,0,rest
1,0,-2,3,-3,-4,-1,0,1782730244.757115,0,rest
-3,-3,-5,-6,-6,-6,-4,-3,1782730244.757115,0,rest
