emg_0,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,timestamp,label,gesture
3,-4,-2,5,-1,3,2,-3,1782744140.237698,1,fist
5,-13,8,3,-3,-2,-6,-3,1782744140.237698,1,fist
22,4,-1,-10,0,1,0,7,1782744140.237827,1,fist
-21,-11,-1,-4,-1,-1,2,1,1782744140.237827,1,fist
2,-8,0,0,-4,-2,3,-3,1782744140.252409,1,fist
4,-8,6,-3,3,1,-7,-10,1782744140.252409,1,fist
0,-1,-2,0,-1,-3,0,-2,1782744140.267157,1,fist
-4,-6,0,-2,-1,2,1,5,1782744140.267157,1,fist
7,-1,-1,-2,-1,-2,3,-3,1782744140.2673979,1,fist
9,4,-4,1,-2,0,-2,5,1782744140.2673979,1,fist
0,1,3,0,-1,-3,-3,-4,1782744140.28208,1,fist
16,5,-2,-1,-4,2,5,1,1782744140.28208,1,fist
-23,-4,-2,-6,-2,-1,5,-7,1782744140.297172,1,fist
20,9,-6,1,2,1,-4,-2,1782744140.297172,1,fist
-3,-5,-1,-2,-2,0,-2,2,1782744140.2972548,1,fist
-2,-3,-7,2,-5,2,6,1,1782744140.2972548,1,fist
2,-2,-2,1,-3,4,4,-1,1782744140.312513,1,fist
4,-5,1,-3,1,-5,-11,-1,1782744140.312513,1,fist
-12,1,-2,2,1,-4,-2,-3,1782744140.3273149,1,fist
1,-2,-2,5,-4,-2,8,-3,1782744140.3273149,1,fist
-32,4,-4,-8,-1,4,3,1,1782744140.327626,1,fist
6,5,-2,6,4,-3,-9,5,1782744140.327626,1,fist
9,-3,0,1,-3,-4,-2,0,1782744140.3422568,1,fist
-13,-4,-3,5,-5,-2,8,-2,1782744140.3422568,1,fist
5,2,-3,-3,0,-1,4,-3,1782744140.3574378,1,fist
3,-18,2,-3,2,-3,-4,0,1782744140.3574378,1,fist
-36,-9,-4,-2,-1,2,-1,-5,1782744140.357564,1,fist
4,12,-6,2,-1,-3,6,4,1782744140.357564,1,fist
-4,5,-3,-14,-1,0,1,-3,1782744140.3725498,1,fist
-5,-5,6,5,-6,-4,-3,-6,1782744140.3725498,1,fist
16,4,-1,3,-1,-4,-2,-1,1782744140.387756,1,fist
-1,-7,-1,-5,-6,2,8,-8,1782744140.387756,1,fist
-16,-7,-3,0,1,-1,4,0,1782744140.388214,1,fist
-13,1,3,0,-10,-3,1,-2,1782744140.388214,1,fist
1,-1,0,-10,-1,-4,-1,-3,1782744140.402231,1,fist
9,1,-1,-2,-9,-1,5,5,1782744140.402231,1,fist
11,-4,-2,-4,-1,-2,4,4,1782744140.41744,1,fist
-18,-8,3,0,-9,-2,1,-7,1782744140.41744,1,fist
-7,-2,-1,1,-3,-1,-1,-3,1782744140.4175942,1,fist
9,8,-2,-18,4,-2,2,0,1782744140.4175942,1,fist
-18,-1,-4,5,-1,0,3,4,1782744140.43501,1,fist
4,1,0,-7,-3,-1,-1,1,1782744140.43501,1,fist
5,-3,8,1,-5,3,1,0,1782744140.448545,1,fist
-5,-6,1,0,-4,-2,2,2,1782744140.448545,1,fist
-21,2,-5,-2,2,4,3,-4,1782744140.448888,1,fist
-3,-1,3,-4,-4,1,-14,-5,1782744140.448888,1,fist
13,-3,8,8,-6,-1,-1,-2,1782744140.465106,1,fist
-8,2,-2,-1,2,1,5,-5,1782744140.465106,1,fist
6,9,-11,-2,3,2,5,3,1782744140.4786282,1,fist
-4,-18,3,-2,-5,-4,4,-6,1782744140.4786282,1,fist
2,-10,9,-2,-7,-1,-3,-5,1782744140.478772,1,fist
-3,0,-6,1,5,2,-4,3,1782744140.478772,1,fist
17,6,-12,-1,1,0,0,5,1782744140.4930649,1,fist
-7,-13,1,-3,-3,0,5,-4,1782744140.4930649,1,fist
7,-4,13,4,-4,1,3,-10,1782744140.509412,1,fist
-9,-7,-3,-6,0,0,7,5,1782744140.509412,1,fist
22,3,-13,2,2,-1,2,2,1782744140.509684,1,fist
-8,5,-3,-6,1,1,1,0,1782744140.509684,1,fist
-14,-6,14,0,-3,-1,1,-8,1782744140.524058,1,fist
-3,5,4,4,-1,-2,-1,3,1782744140.524058,1,fist
22,6,-8,-8,2,0,1,9,1782744140.5384698,1,fist
6,3,-6,0,-3,-2,3,-2,1782744140.5384698,1,fist
15,-2,7,-5,-4,-1,0,-3,1782744140.5386071,1,fist
3,-9,-2,1,-3,3,7,8,1782744140.5386071,1,fist
-7,-4,-9,-3,3,-3,4,0,1782744140.555137,1,fist
19,2,2,-7,1,-1,-1,-5,1782744140.555137,1,fist
0,-3,8,4,-4,-2,-2,-9,1782744140.568778,1,fist
-1,7,-3,0,0,1,4,1,1782744140.568778,1,fist
-28,1,-12,-4,4,1,5,4,1782744140.569249,1,fist
-6,3,4,8,-2,-2,-5,0,1782744140.569249,1,fist
17,-3,13,-2,-3,-4,-2,-4,1782744140.583698,1,fist
-9,-3,-3,1,-3,2,7,-5,1782744140.583698,1,fist
0,7,-16,-8,4,0,4,7,1782744140.597478,1,fist
28,19,-6,-3,5,3,3,2,1782744140.597478,1,fist
-43,-5,14,7,-4,-3,-1,-14,1782744140.59764,1,fist
9,7,1,-5,-6,-2,5,-2,1782744140.59764,1,fist
3,11,-12,-2,3,0,2,2,1782744140.61306,1,fist
-1,-6,2,7,-3,-1,-1,-1,1782744140.61306,1,fist
7,-5,13,0,-7,1,2,-5,1782744140.629066,1,fist
8,-2,-6,-4,-3,0,4,-2,1782744140.629066,1,fist
-26,5,-10,-3,2,1,2,6,1782744140.629568,1,fist
-6,-20,0,1,0,-2,-8,-1,1782744140.629568,1,fist
11,-6,9,4,-5,1,0,1,1782744140.644469,1,fist
-4,-3,1,4,-4,0,2,4,1782744140.644469,1,fist
-2,3,-9,-4,5,1,5,2,1782744140.6597178,1,fist
9,3,-2,0,1,1,-1,-6,1782744140.6597178,1,fist
-12,-6,14,-2,-6,-1,-2,-4,1782744140.6598542,1,fist
5,-9,-4,-8,-1,-2,1,1,1782744140.6598542,1,fist
3,6,-6,0,0,-3,3,4,1782744140.6739998,1,fist
9,8,2,6,2,-3,-1,1,1782744140.6739998,1,fist
-12,-2,6,-1,-3,1,0,-7,1782744140.6883972,1,fist
-9,-4,2,4,-6,1,1,1,1782744140.6883972,1,fist
3,0,-9,-1,1,-1,2,6,1782744140.6886332,1,fist
1,-2,-4,-1,-2,-2,-3,-2,1782744140.6886332,1,fist
9,-5,10,0,-7,-3,0,-6,1782744140.702432,1,fist
6,1,-5,3,-2,-2,7,3,1782744140.702432,1,fist
0,12,-11,-7,3,-4,1,-3,1782744140.718747,1,fist
-16,14,0,0,3,2,1,0,1782744140.718747,1,fist
0,-11,2,3,-7,1,3,-4,1782744140.718986,1,fist
-2,-6,-1,0,-1,0,1,2,1782744140.718986,1,fist
17,4,-5,0,2,-2,2,9,1782744140.733112,1,fist
7,-9,-3,-1,-1,-4,-4,3,1782744140.733112,1,fist
7,-8,3,-1,-5,2,0,-4,1782744140.7489002,1,fist
-2,1,-3,-5,-3,0,3,-3,1782744140.7489002,1,fist
2,0,-4,0,-2,-1,2,3,1782744140.7492218,1,fist
-3,2,1,-2,0,-1,-2,1,1782744140.7492218,1,fist
5,-22,7,0,-4,-2,-1,-7,1782744140.7636101,1,fist
2,-1,-1,0,-8,1,0,-1,1782744140.7636101,1,fist
-18,-2,-6,1,1,-2,4,4,1782744140.778799,1,fist
-1,-3,-1,-1,0,2,-4,-1,1782744140.778799,1,fist
7,1,2,-3,-3,0,0,-4,1782744140.778914,1,fist
-24,-11,-5,-2,-2,-2,8,-6,1782744140.778914,1,fist
1,2,-3,-4,0,-2,2,-7,1782744140.794372,1,fist
10,-5,-1,-8,0,-6,-5,-3,1782744140.794372,1,fist
10,3,3,7,-5,0,-2,-1,1782744140.807601,1,fist
-9,-2,2,-5,-4,2,5,0,1782744140.807601,1,fist
-5,8,-5,-7,4,-2,3,8,1782744140.808463,1,fist
-4,-4,1,1,-3,-3,-2,0,1782744140.808463,1,fist
4,-5,6,-2,-8,2,0,-9,1782744140.824148,1,fist
2,5,-5,3,0,0,5,-1,1782744140.824148,1,fist
-8,-2,-7,-7,-1,0,1,4,1782744140.839138,1,fist
-12,-10,-2,-3,-4,1,1,-11,1782744140.839138,1,fist
8,-4,5,5,-4,1,0,-4,1782744140.839328,1,fist
2,5,-2,4,-5,1,4,1,1782744140.839328,1,fist
-6,4,-5,-3,3,-1,1,7,1782744140.85339,1,fist
13,4,-3,9,3,-3,-6,5,1782744140.85339,1,fist
-14,-11,8,-1,-8,-3,-1,-11,1782744140.867776,1,fist
7,-6,1,-4,-1,2,1,1,1782744140.867776,1,fist
7,15,-11,7,9,0,3,6,1782744140.868247,1,fist
-24,-11,3,-3,-5,0,-2,-1,1782744140.868247,1,fist
7,-8,2,-1,-9,-1,0,-16,1782744140.882529,1,fist
4,2,-4,2,-1,-1,4,3,1782744140.882529,1,fist
2,8,-10,-2,11,-2,0,8,1782744140.8983538,1,fist
3,8,-8,-2,2,1,-2,1,1782744140.8983538,1,fist
6,-6,6,4,-8,-2,-1,-3,1782744140.8985028,1,fist
-7,2,-4,-3,3,1,-5,0,1782744140.8985028,1,fist
24,12,-9,-2,0,0,0,9,1782744140.912642,1,fist
0,4,1,-1,1,-3,-3,1,1782744140.912642,1,fist
-3,-9,3,1,-13,1,4,-5,1782744140.9285388,1,fist
10,8,-4,-2,2,-3,2,3,1782744140.9285388,1,fist
-13,10,-15,-8,5,0,1,6,1782744140.92893,1,fist
-1,1,-4,1,-2,1,-1,-1,1782744140.92893,1,fist
-1,-12,4,-2,-7,1,2,-5,1782744140.9731572,1,fist
0,1,-6,2,-4,-3,2,-5,1782744140.9731572,1,fist
9,0,-8,0,4,0,-1,1,1782744140.9737291,1,fist
1,-3,2,0,-5,-1,1,2,1782744140.9737291,1,fist
7,0,10,3,2,1,2,-3,1782744140.973925,1,fist
-2,-4,-4,-2,-5,-2,7,1,1782744140.973925,1,fist
0,14,-13,-3,8,-2,2,7,1782744140.975189,1,fist
14,5,-2,0,-3,-4,-4,1,1782744140.975189,1,fist
4,-4,11,2,-6,-1,4,-7,1782744140.9896991,1,fist
-2,-1,-2,1,-2,3,1,3,1782744140.9896991,1,fist
-9,6,-16,-5,3,-1,0,9,1782744140.990119,1,fist
-5,-6,-1,-3,-5,0,0,-2,1782744140.990119,1,fist
-1,-8,10,-1,-7,0,5,-7,1782744141.0025759,1,fist
6,-6,-3,-1,-1,-1,4,0,1782744141.0025759,1,fist
-30,10,-18,-2,12,0,0,3,1782744141.0177338,1,fist
-3,-14,3,-5,-5,-5,1,0,1782744141.0177338,1,fist
-4,-7,8,3,-9,0,5,-7,1782744141.01791,1,fist
3,-11,-2,-10,1,-2,7,-4,1782744141.01791,1,fist
-13,1,-18,8,6,-2,-4,4,1782744141.0360498,1,fist
-4,-3,-4,0,0,0,0,0,1782744141.0360498,1,fist
1,-15,19,2,-13,1,3,-6,1782744141.0484989,1,fist
-1,-3,2,3,-1,1,4,-4,1782744141.0484989,1,fist
6,9,-18,-11,7,-3,1,3,1782744141.048744,1,fist
-1,-5,-1,-1,-1,-2,-4,0,1782744141.048744,1,fist
-1,-7,18,3,-9,4,5,-2,1782744141.063976,1,fist
-17,-1,-3,-2,-2,1,6,-5,1782744141.063976,1,fist
3,9,-13,-4,12,-3,-2,5,1782744141.0797179,1,fist
12,3,3,0,2,1,-3,1,1782744141.0797179,1,fist
9,-8,13,-5,-11,0,4,-2,1782744141.079815,1,fist
-13,-4,3,-1,-5,1,4,2,1782744141.079815,1,fist
3,9,-19,2,9,0,-1,5,1782744141.093278,1,fist
6,-5,-1,3,1,-2,-2,2,1782744141.093278,1,fist
-1,-27,17,4,-17,2,5,-9,1782744141.1078598,1,fist
-8,-4,-3,3,-2,-1,4,-1,1782744141.1078598,1,fist
-17,7,-18,-8,11,-3,-2,3,1782744141.108418,1,fist
-3,11,-3,1,2,1,-3,3,1782744141.108418,1,fist
-15,-10,18,1,-12,-1,1,-9,1782744141.123317,1,fist
-19,1,0,0,-1,-1,3,-1,1782744141.123317,1,fist
3,15,-20,2,7,-3,-2,11,1782744141.1378381,1,fist
-21,-1,-3,-2,-2,0,-2,-3,1782744141.1378381,1,fist
7,-9,7,0,-8,2,7,-6,1782744141.1380548,1,fist
5,10,-3,-2,-2,1,4,-2,1782744141.1380548,1,fist
-4,6,-16,-2,10,-2,-3,9,1782744141.1545548,1,fist
-11,0,-2,-7,-2,0,0,-1,1782744141.1545548,1,fist
3,-11,16,0,-13,-1,3,-3,1782744141.1685739,1,fist
-5,-3,1,-2,-6,-4,1,-3,1782744141.1685739,1,fist
5,24,-17,-2,7,3,0,7,1782744141.1690528,1,fist
0,-4,-6,2,-4,-1,-1,1,1782744141.1690528,1,fist
-4,-10,12,-2,-10,0,2,-4,1782744141.1833642,1,fist
2,7,-6,1,2,1,3,1,1782744141.1833642,1,fist
-11,1,-13,1,6,-4,-3,4,1782744141.198286,1,fist
-6,-4,-1,0,-6,-2,-1,0,1782744141.198286,1,fist
8,-15,12,3,-17,4,4,-8,1782744141.198484,1,fist
13,7,-2,3,6,1,-4,2,1782744141.198484,1,fist
8,13,-8,1,4,-2,-3,10,1782744141.2134342,1,fist
-4,-8,5,-5,-2,-4,-2,-3,1782744141.2134342,1,fist
2,-8,6,2,-10,-1,5,-5,1782744141.229206,1,fist
-8,1,-1,0,1,3,4,0,1782744141.229206,1,fist
-12,9,-6,-10,8,-4,-3,1,1782744141.2295208,1,fist
13,0,-4,-1,3,2,1,2,1782744141.2295208,1,fist
2,-10,9,0,-13,1,2,-9,1782744141.244599,1,fist
-28,-25,4,-1,-11,-3,1,1,1782744141.244599,1,fist
2,14,-11,-4,12,-3,-4,0,1782744141.258645,1,fist
-11,-3,1,-3,0,-2,-1,0,1782744141.258645,1,fist
2,-3,5,1,-8,-2,2,-3,1782744141.2587268,1,fist
-6,-2,-4,4,0,1,4,-2,1782744141.2587268,1,fist
-1,-1,-8,-1,12,-2,-1,3,1782744141.2740889,1,fist
-7,-2,2,-2,-5,-3,-3,-2,1782744141.2740889,1,fist
1,-6,6,1,-13,2,4,1,1782744141.288378,1,fist
16,7,-2,1,-1,0,4,-2,1782744141.288378,1,fist
1,11,-5,-9,6,1,-1,4,1782744141.288606,1,fist
-11,-7,0,1,-3,0,0,-7,1782744141.288606,1,fist
-9,-25,7,-2,-12,0,3,0,1782744141.305055,1,fist
9,-2,-4,1,-2,2,3,-2,1782744141.305055,1,fist
6,13,-11,-1,5,1,-3,5,1782744141.318273,1,fist
4,-4,-3,-2,-4,-3,-1,1,1782744141.318273,1,fist
-3,-4,6,0,-7,1,4,-1,1782744141.318332,1,fist
15,7,-2,-3,-1,-1,2,-3,1782744141.318332,1,fist
-23,1,-4,6,7,-3,-2,1,1782744141.333171,1,fist
-12,-11,-4,-2,-1,0,0,2,1782744141.333171,1,fist
-6,-11,9,2,-8,1,1,-5,1782744141.348971,1,fist
5,7,1,-4,-1,-3,2,-3,1782744141.348971,1,fist
-11,1,-8,0,8,-2,0,5,1782744141.349386,1,fist
16,3,-4,0,1,-2,-1,6,1782744141.349386,1,fist
-19,-6,9,3,-11,0,0,-2,1782744141.365449,1,fist
-19,-22,0,-5,0,-3,2,-3,1782744141.365449,1,fist
7,16,-6,8,7,-3,-2,7,1782744141.378988,1,fist
6,2,-6,-4,1,0,-1,4,1782744141.378988,1,fist
2,-6,2,-7,-11,3,0,-3,1782744141.3790982,1,fist
6,9,3,1,-2,0,2,4,1782744141.3790982,1,fist
4,6,-11,-3,12,-2,-2,-1,1782744141.3954911,1,fist
8,1,-7,3,0,-6,-1,4,1782744141.3954911,1,fist
3,-9,4,-4,-16,-1,3,-4,1782744141.408674,1,fist
-3,-13,5,1,-6,1,2,-8,1782744141.408674,1,fist
8,12,-11,-6,7,-2,-1,2,1782744141.409119,1,fist
-7,12,-10,-3,3,1,0,3,1782744141.409119,1,fist
19,-10,1,4,-9,0,4,-4,1782744141.423098,1,fist
13,-5,3,5,-3,-2,1,-3,1782744141.423098,1,fist
1,2,-5,-7,7,0,0,-2,1782744141.4377909,1,fist
24,8,-4,-3,2,-3,-1,-1,1782744141.4377909,1,fist
5,-10,3,1,-13,0,11,-1,1782744141.437962,1,fist
9,-1,12,-3,-6,3,2,3,1782744141.437962,1,fist
6,13,-6,5,9,1,0,4,1782744141.452874,1,fist
-5,6,-6,-7,7,-2,0,1,1782744141.452874,1,fist
-8,-34,5,-2,-14,-2,1,-10,1782744141.469311,1,fist
12,7,8,0,0,0,2,-1,1782744141.469311,1,fist
1,3,-9,4,5,-1,-5,-2,1782744141.46971,1,fist
-29,0,-3,0,1,2,-2,3,1782744141.46971,1,fist
-7,-14,8,2,-12,1,10,-3,1782744141.4838889,1,fist
-9,-5,5,-2,-7,0,2,-7,1782744141.4838889,1,fist
12,17,-14,-2,17,-3,-5,4,1782744141.499032,1,fist
5,6,-5,-1,1,-1,6,3,1782744141.499032,1,fist
-25,-3,6,-1,-8,0,12,-3,1782744141.49917,1,fist
-1,6,-2,4,0,2,3,-1,1782744141.49917,1,fist
-3,13,-12,-1,17,-1,-4,3,1782744141.513449,1,fist
7,-1,0,5,-2,0,-1,11,1782744141.513449,1,fist
4,-9,5,-4,-5,0,8,-2,1782744141.527782,1,fist
