=== EMG → SERVO LATENCY SESSION LOG ===
Session start: 2025-10-20 14:14:18
Arduino Port: COM3 @ 9600 baud
Model: models/trained_model.h5
-------------------------------------------

[14:14:22] Gesture: relax        | Latency: 0.031 s | Avg: 0.031 s | Trial #: 1
[14:14:25] Gesture: thumb        | Latency: 0.046 s | Avg: 0.046 s | Trial #: 1
[14:14:26] Gesture: index        | Latency: 0.047 s | Avg: 0.047 s | Trial #: 1
[14:14:29] Gesture: middle       | Latency: 0.062 s | Avg: 0.062 s | Trial #: 1
[14:14:29] Gesture: little       | Latency: 0.062 s | Avg: 0.062 s | Trial #: 1
[14:14:32] Gesture: wrist_right  | Latency: 0.047 s | Avg: 0.047 s | Trial #: 1
[14:14:32] Gesture: ring         | Latency: 0.047 s | Avg: 0.047 s | Trial #: 1
[14:14:33] Gesture: wrist_left   | Latency: 0.063 s | Avg: 0.063 s | Trial #: 1
[14:14:34] Gesture: relax        | Latency: 0.062 s | Avg: 0.047 s | Trial #: 2
[14:14:39] Gesture: fist         | Latency: 0.047 s | Avg: 0.047 s | Trial #: 1
[14:14:45] Gesture: index        | Latency: 0.062 s | Avg: 0.054 s | Trial #: 2
[14:14:45] Gesture: thumb        | Latency: 0.047 s | Avg: 0.046 s | Trial #: 2
[14:14:47] Gesture: index        | Latency: 0.047 s | Avg: 0.052 s | Trial #: 3
[14:14:48] Gesture: middle       | Latency: 0.047 s | Avg: 0.054 s | Trial #: 2
[14:14:50] Gesture: ring         | Latency: 0.047 s | Avg: 0.047 s | Trial #: 2
[14:14:52] Gesture: little       | Latency: 0.063 s | Avg: 0.062 s | Trial #: 2
[14:14:53] Gesture: ring         | Latency: 0.063 s | Avg: 0.052 s | Trial #: 3
[14:14:53] Gesture: open         | Latency: 0.062 s | Avg: 0.062 s | Trial #: 1
[14:15:00] Gesture: wrist_down   | Latency: 0.047 s | Avg: 0.047 s | Trial #: 1
[14:15:02] Gesture: wrist_right  | Latency: 0.063 s | Avg: 0.055 s | Trial #: 2
[14:15:04] Gesture: thumb        | Latency: 0.062 s | Avg: 0.052 s | Trial #: 3
[14:15:04] Gesture: wrist_left   | Latency: 0.047 s | Avg: 0.055 s | Trial #: 2
[14:15:06] Gesture: wrist_down   | Latency: 0.063 s | Avg: 0.055 s | Trial #: 2
[14:15:07] Gesture: ring         | Latency: 0.047 s | Avg: 0.051 s | Trial #: 4
[14:15:07] Gesture: wrist_down   | Latency: 0.062 s | Avg: 0.057 s | Trial #: 3
[14:15:08] Gesture: wrist_up     | Latency: 0.047 s | Avg: 0.047 s | Trial #: 1
[14:15:09] Gesture: thumb        | Latency: 0.062 s | Avg: 0.054 s | Trial #: 4
[14:15:10] Gesture: little       | Latency: 0.047 s | Avg: 0.057 s | Trial #: 3
[14:15:11] Gesture: ring         | Latency: 0.047 s | Avg: 0.050 s | Trial #: 5
[14:15:13] Gesture: wrist_left   | Latency: 0.063 s | Avg: 0.058 s | Trial #: 3
[14:15:14] Gesture: ring         | Latency: 0.046 s | Avg: 0.050 s | Trial #: 6
[14:15:16] Gesture: wrist_down   | Latency: 0.062 s | Avg: 0.058 s | Trial #: 4
[14:15:17] Gesture: relax        | Latency: 0.047 s | Avg: 0.047 s | Trial #: 3
[14:15:18] Gesture: ok           | Latency: 0.062 s | Avg: 0.062 s | Trial #: 1
[14:15:20] Gesture: ring         | Latency: 0.062 s | Avg: 0.051 s | Trial #: 7
[14:15:21] Gesture: ok           | Latency: 0.047 s | Avg: 0.054 s | Trial #: 2
[14:15:24] Gesture: ring         | Latency: 0.047 s | Avg: 0.051 s | Trial #: 8
[14:15:24] Gesture: fist         | Latency: 0.062 s | Avg: 0.054 s | Trial #: 2
[14:15:27] Gesture: relax        | Latency: 0.047 s | Avg: 0.047 s | Trial #: 4
[14:15:40] Gesture: fist         | Latency: 0.062 s | Avg: 0.057 s | Trial #: 3
[14:15:43] Gesture: wrist_left   | Latency: 0.063 s | Avg: 0.059 s | Trial #: 4
[14:15:43] Gesture: relax        | Latency: 0.047 s | Avg: 0.047 s | Trial #: 5
[14:15:45] Gesture: wrist_up     | Latency: 0.031 s | Avg: 0.039 s | Trial #: 2
