=== EMG → SERVO LATENCY SESSION LOG ===
Session start: 2025-10-15 13:08:45
Arduino Port: COM3 @ 9600 baud
Model: models/trained_model.h5
-------------------------------------------

[13:08:48] Gesture: middle       | Latency: 0.047 s | Avg: 0.047 s | Trial #: 1
[13:08:51] Gesture: ok           | Latency: 0.047 s | Avg: 0.047 s | Trial #: 1
[13:08:52] Gesture: fist         | Latency: 0.063 s | Avg: 0.063 s | Trial #: 1
[13:08:52] Gesture: index        | Latency: 0.063 s | Avg: 0.063 s | Trial #: 1
[13:08:54] Gesture: ok           | Latency: 0.047 s | Avg: 0.047 s | Trial #: 2
[13:08:57] Gesture: wrist_right  | Latency: 0.047 s | Avg: 0.047 s | Trial #: 1
[13:08:59] Gesture: ok           | Latency: 0.047 s | Avg: 0.047 s | Trial #: 3
[13:09:05] Gesture: open         | Latency: 0.047 s | Avg: 0.047 s | Trial #: 1
[13:09:09] Gesture: ok           | Latency: 0.047 s | Avg: 0.047 s | Trial #: 4
[13:09:16] Gesture: ring         | Latency: 0.046 s | Avg: 0.046 s | Trial #: 1
[13:09:20] Gesture: ok           | Latency: 0.062 s | Avg: 0.050 s | Trial #: 5
[13:09:24] Gesture: middle       | Latency: 0.047 s | Avg: 0.047 s | Trial #: 2
[13:09:29] Gesture: open         | Latency: 0.063 s | Avg: 0.055 s | Trial #: 2
[13:09:31] Gesture: wrist_right  | Latency: 0.063 s | Avg: 0.055 s | Trial #: 2
[13:09:35] Gesture: open         | Latency: 0.062 s | Avg: 0.057 s | Trial #: 3
[13:09:41] Gesture: wrist_right  | Latency: 0.063 s | Avg: 0.058 s | Trial #: 3
[13:09:45] Gesture: open         | Latency: 0.062 s | Avg: 0.058 s | Trial #: 4
[13:09:46] Gesture: ok           | Latency: 0.047 s | Avg: 0.049 s | Trial #: 6
[13:09:47] Gesture: open         | Latency: 0.063 s | Avg: 0.059 s | Trial #: 5
[13:09:48] Gesture: ok           | Latency: 0.047 s | Avg: 0.049 s | Trial #: 7
[13:09:50] Gesture: open         | Latency: 0.063 s | Avg: 0.060 s | Trial #: 6
[13:09:51] Gesture: wrist_right  | Latency: 0.047 s | Avg: 0.055 s | Trial #: 4
[13:09:58] Gesture: ok           | Latency: 0.063 s | Avg: 0.051 s | Trial #: 8
[13:10:00] Gesture: thumb        | Latency: 0.062 s | Avg: 0.062 s | Trial #: 1
[13:10:01] Gesture: middle       | Latency: 0.062 s | Avg: 0.052 s | Trial #: 3
[13:10:02] Gesture: open         | Latency: 0.062 s | Avg: 0.060 s | Trial #: 7
[13:10:08] Gesture: ring         | Latency: 0.063 s | Avg: 0.055 s | Trial #: 2
[13:10:09] Gesture: middle       | Latency: 0.062 s | Avg: 0.054 s | Trial #: 4
[13:10:10] Gesture: ok           | Latency: 0.109 s | Avg: 0.057 s | Trial #: 9
[13:10:13] Gesture: open         | Latency: 0.063 s | Avg: 0.061 s | Trial #: 8
[13:10:15] Gesture: ok           | Latency: 0.047 s | Avg: 0.056 s | Trial #: 10
[13:10:19] Gesture: open         | Latency: 0.063 s | Avg: 0.061 s | Trial #: 9
[13:10:21] Gesture: thumb        | Latency: 0.047 s | Avg: 0.055 s | Trial #: 2
[13:10:22] Gesture: index        | Latency: 0.047 s | Avg: 0.055 s | Trial #: 2
[13:10:24] Gesture: middle       | Latency: 0.062 s | Avg: 0.056 s | Trial #: 5
[13:10:32] Gesture: ring         | Latency: 0.047 s | Avg: 0.052 s | Trial #: 3
[13:10:35] Gesture: wrist_right  | Latency: 0.062 s | Avg: 0.056 s | Trial #: 5
[13:10:43] Gesture: open         | Latency: 0.062 s | Avg: 0.061 s | Trial #: 10
[13:10:45] Gesture: fist         | Latency: 0.063 s | Avg: 0.063 s | Trial #: 2
[13:10:48] Gesture: wrist_left   | Latency: 0.062 s | Avg: 0.062 s | Trial #: 1
[13:10:49] Gesture: open         | Latency: 0.047 s | Avg: 0.060 s | Trial #: 11
[13:10:51] Gesture: ring         | Latency: 0.063 s | Avg: 0.055 s | Trial #: 4
[13:10:57] Gesture: open         | Latency: 0.047 s | Avg: 0.059 s | Trial #: 12
[13:10:59] Gesture: middle       | Latency: 0.047 s | Avg: 0.054 s | Trial #: 6
[13:11:04] Gesture: thumb        | Latency: 0.063 s | Avg: 0.057 s | Trial #: 3
[13:11:06] Gesture: open         | Latency: 0.062 s | Avg: 0.059 s | Trial #: 13
[13:11:14] Gesture: middle       | Latency: 0.047 s | Avg: 0.053 s | Trial #: 7
[13:11:20] Gesture: index        | Latency: 0.062 s | Avg: 0.057 s | Trial #: 3
[13:11:21] Gesture: open         | Latency: 0.063 s | Avg: 0.059 s | Trial #: 14
[13:11:21] Gesture: thumb        | Latency: 0.063 s | Avg: 0.059 s | Trial #: 4
[13:11:24] Gesture: ring         | Latency: 0.062 s | Avg: 0.056 s | Trial #: 5
[13:11:26] Gesture: index        | Latency: 0.047 s | Avg: 0.055 s | Trial #: 4
[13:11:31] Gesture: open         | Latency: 0.047 s | Avg: 0.058 s | Trial #: 15
[13:11:32] Gesture: index        | Latency: 0.063 s | Avg: 0.056 s | Trial #: 5
