=== EMG → SERVO LATENCY SESSION LOG ===
Session start: 2025-10-15 14:23:03
Arduino Port: COM3 @ 9600 baud
Model: models/trained_model.h5
-------------------------------------------

[14:23:06] Gesture: open         | Latency: 0.047 s | Avg: 0.047 s | Trial #: 1
[14:23:07] Gesture: ring         | Latency: 0.063 s | Avg: 0.063 s | Trial #: 1
[14:23:08] Gesture: open         | Latency: 0.047 s | Avg: 0.047 s | Trial #: 2
[14:23:10] Gesture: fist         | Latency: 0.047 s | Avg: 0.047 s | Trial #: 1
[14:23:14] Gesture: ring         | Latency: 0.047 s | Avg: 0.055 s | Trial #: 2
[14:23:15] Gesture: open         | Latency: 0.063 s | Avg: 0.052 s | Trial #: 3
[14:23:18] Gesture: wrist_right  | Latency: 0.047 s | Avg: 0.047 s | Trial #: 1
[14:23:20] Gesture: relax        | Latency: 0.047 s | Avg: 0.047 s | Trial #: 1
[14:23:21] Gesture: wrist_left   | Latency: 0.047 s | Avg: 0.047 s | Trial #: 1
[14:23:23] Gesture: wrist_right  | Latency: 0.062 s | Avg: 0.055 s | Trial #: 2
[14:23:23] Gesture: relax        | Latency: 0.062 s | Avg: 0.055 s | Trial #: 2
[14:23:24] Gesture: wrist_down   | Latency: 0.047 s | Avg: 0.047 s | Trial #: 1
[14:23:25] Gesture: open         | Latency: 0.047 s | Avg: 0.051 s | Trial #: 4
[14:23:25] Gesture: wrist_up     | Latency: 0.047 s | Avg: 0.047 s | Trial #: 1
[14:23:28] Gesture: index        | Latency: 0.063 s | Avg: 0.063 s | Trial #: 1
[14:23:32] Gesture: relax        | Latency: 0.047 s | Avg: 0.052 s | Trial #: 3
[14:23:41] Gesture: open         | Latency: 0.031 s | Avg: 0.047 s | Trial #: 5
[14:23:45] Gesture: relax        | Latency: 0.047 s | Avg: 0.051 s | Trial #: 4
[14:23:51] Gesture: index        | Latency: 0.063 s | Avg: 0.063 s | Trial #: 2
[14:24:00] Gesture: relax        | Latency: 0.063 s | Avg: 0.053 s | Trial #: 5
[14:24:04] Gesture: wrist_up     | Latency: 0.047 s | Avg: 0.047 s | Trial #: 2
[14:24:05] Gesture: ring         | Latency: 0.047 s | Avg: 0.052 s | Trial #: 3
[14:24:06] Gesture: relax        | Latency: 0.046 s | Avg: 0.052 s | Trial #: 6
[14:24:07] Gesture: ring         | Latency: 0.062 s | Avg: 0.055 s | Trial #: 4
[14:24:09] Gesture: open         | Latency: 0.062 s | Avg: 0.050 s | Trial #: 6
[14:24:09] Gesture: relax        | Latency: 0.047 s | Avg: 0.051 s | Trial #: 7
[14:24:10] Gesture: ok           | Latency: 0.047 s | Avg: 0.047 s | Trial #: 1
[14:24:17] Gesture: open         | Latency: 0.063 s | Avg: 0.051 s | Trial #: 7
[14:24:17] Gesture: relax        | Latency: 0.047 s | Avg: 0.051 s | Trial #: 8
[14:24:19] Gesture: index        | Latency: 0.063 s | Avg: 0.063 s | Trial #: 3
[14:24:22] Gesture: little       | Latency: 0.063 s | Avg: 0.063 s | Trial #: 1
[14:24:24] Gesture: ring         | Latency: 0.063 s | Avg: 0.056 s | Trial #: 5
[14:24:31] Gesture: open         | Latency: 0.062 s | Avg: 0.053 s | Trial #: 8
[14:24:33] Gesture: ring         | Latency: 0.062 s | Avg: 0.057 s | Trial #: 6
[14:24:38] Gesture: wrist_left   | Latency: 0.063 s | Avg: 0.055 s | Trial #: 2
[14:24:38] Gesture: open         | Latency: 0.062 s | Avg: 0.054 s | Trial #: 9
[14:24:38] Gesture: wrist_left   | Latency: 0.047 s | Avg: 0.052 s | Trial #: 3
[14:24:38] Gesture: ring         | Latency: 0.062 s | Avg: 0.058 s | Trial #: 7
[14:24:40] Gesture: wrist_right  | Latency: 0.062 s | Avg: 0.057 s | Trial #: 3
[14:24:41] Gesture: open         | Latency: 0.046 s | Avg: 0.053 s | Trial #: 10
[14:24:42] Gesture: wrist_right  | Latency: 0.063 s | Avg: 0.058 s | Trial #: 4
[14:24:42] Gesture: wrist_left   | Latency: 0.062 s | Avg: 0.055 s | Trial #: 4
[14:24:44] Gesture: open         | Latency: 0.047 s | Avg: 0.052 s | Trial #: 11
[14:24:44] Gesture: relax        | Latency: 0.047 s | Avg: 0.050 s | Trial #: 9
[14:24:46] Gesture: index        | Latency: 0.062 s | Avg: 0.063 s | Trial #: 4
[14:24:49] Gesture: ring         | Latency: 0.062 s | Avg: 0.059 s | Trial #: 8
[14:24:53] Gesture: fist         | Latency: 0.062 s | Avg: 0.055 s | Trial #: 2
[14:24:55] Gesture: index        | Latency: 0.062 s | Avg: 0.063 s | Trial #: 5
[14:24:55] Gesture: open         | Latency: 0.047 s | Avg: 0.052 s | Trial #: 12
[14:25:00] Gesture: wrist_up     | Latency: 0.047 s | Avg: 0.047 s | Trial #: 3
[14:25:01] Gesture: wrist_left   | Latency: 0.125 s | Avg: 0.069 s | Trial #: 5
[14:25:01] Gesture: wrist_right  | Latency: 0.062 s | Avg: 0.059 s | Trial #: 5
[14:25:04] Gesture: open         | Latency: 0.047 s | Avg: 0.052 s | Trial #: 13
[14:25:11] Gesture: wrist_left   | Latency: 0.062 s | Avg: 0.068 s | Trial #: 6
[14:25:12] Gesture: wrist_right  | Latency: 0.047 s | Avg: 0.057 s | Trial #: 6
[14:25:12] Gesture: wrist_left   | Latency: 0.063 s | Avg: 0.067 s | Trial #: 7
[14:25:12] Gesture: ring         | Latency: 0.063 s | Avg: 0.059 s | Trial #: 9
[14:25:18] Gesture: wrist_right  | Latency: 0.063 s | Avg: 0.058 s | Trial #: 7
[14:25:20] Gesture: open         | Latency: 0.047 s | Avg: 0.051 s | Trial #: 14
[14:25:21] Gesture: ring         | Latency: 0.047 s | Avg: 0.058 s | Trial #: 10
[14:25:23] Gesture: relax        | Latency: 0.063 s | Avg: 0.052 s | Trial #: 10
[14:25:26] Gesture: little       | Latency: 0.047 s | Avg: 0.055 s | Trial #: 2
[14:25:26] Gesture: ring         | Latency: 0.062 s | Avg: 0.058 s | Trial #: 11
[14:25:27] Gesture: relax        | Latency: 0.063 s | Avg: 0.053 s | Trial #: 11
[14:25:29] Gesture: ring         | Latency: 0.062 s | Avg: 0.059 s | Trial #: 12
[14:25:32] Gesture: little       | Latency: 0.046 s | Avg: 0.052 s | Trial #: 3
[14:25:34] Gesture: ring         | Latency: 0.047 s | Avg: 0.058 s | Trial #: 13
[14:25:34] Gesture: little       | Latency: 0.062 s | Avg: 0.054 s | Trial #: 4
[14:25:35] Gesture: ring         | Latency: 0.063 s | Avg: 0.058 s | Trial #: 14
[14:25:39] Gesture: middle       | Latency: 0.047 s | Avg: 0.047 s | Trial #: 1
[14:25:40] Gesture: fist         | Latency: 0.062 s | Avg: 0.057 s | Trial #: 3
[14:25:41] Gesture: index        | Latency: 0.047 s | Avg: 0.060 s | Trial #: 6
[14:25:43] Gesture: wrist_right  | Latency: 0.062 s | Avg: 0.058 s | Trial #: 8
[14:25:45] Gesture: thumb        | Latency: 0.063 s | Avg: 0.063 s | Trial #: 1
[14:25:45] Gesture: index        | Latency: 0.063 s | Avg: 0.060 s | Trial #: 7
[14:25:48] Gesture: thumb        | Latency: 0.047 s | Avg: 0.055 s | Trial #: 2
[14:25:51] Gesture: little       | Latency: 0.047 s | Avg: 0.053 s | Trial #: 5
[14:25:52] Gesture: wrist_down   | Latency: 0.062 s | Avg: 0.055 s | Trial #: 2
[14:25:53] Gesture: index        | Latency: 0.063 s | Avg: 0.061 s | Trial #: 8
[14:25:55] Gesture: ring         | Latency: 0.063 s | Avg: 0.058 s | Trial #: 15
[14:25:57] Gesture: wrist_left   | Latency: 0.063 s | Avg: 0.067 s | Trial #: 8
[14:25:58] Gesture: ring         | Latency: 0.062 s | Avg: 0.059 s | Trial #: 16
[14:25:59] Gesture: relax        | Latency: 0.063 s | Avg: 0.053 s | Trial #: 12
[14:26:02] Gesture: ring         | Latency: 0.062 s | Avg: 0.059 s | Trial #: 17
[14:26:03] Gesture: ok           | Latency: 0.047 s | Avg: 0.047 s | Trial #: 2
[14:26:07] Gesture: open         | Latency: 0.047 s | Avg: 0.051 s | Trial #: 15
