emg_0,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,timestamp,label,gesture
-1,-1,0,-2,-2,0,-1,-1,1782731661.64099,1,fist
2,-1,0,0,-1,-2,6,3,1782731661.64099,1,fist
-2,-1,-2,1,2,1,-1,-3,1782731661.6412091,1,fist
0,-2,-2,-3,0,0,-1,1,1782731661.6412091,1,fist
0,0,-1,0,-1,0,1,-2,1782731661.654737,1,fist
-1,-1,-1,-1,1,-1,-2,0,1782731661.654737,1,fist
-1,-2,-3,-2,-1,-1,3,0,1782731661.671105,1,fist
1,0,0,0,0,-1,-7,-3,1782731661.671105,1,fist
0,0,1,0,-2,-1,-3,-4,1782731661.671388,1,fist
-2,-3,-2,-2,1,1,1,-1,1782731661.671388,1,fist
-1,-2,-1,-3,-2,0,-3,-2,1782731661.687618,1,fist
-2,-1,0,-1,-1,-1,-2,-1,1782731661.687618,1,fist
1,0,-1,-2,0,0,1,-1,1782731661.7005959,1,fist
-1,-1,-1,-1,-1,-1,-1,-1,1782731661.7005959,1,fist
0,-1,-3,-1,-3,1,1,1,1782731661.700691,1,fist
-3,1,-2,-2,-2,-1,-7,-6,1782731661.700691,1,fist
0,0,-1,-1,-1,0,8,1,1782731661.715848,1,fist
0,-2,-1,-1,-1,2,11,1,1782731661.715848,1,fist
-1,1,0,0,0,-2,-4,1,1782731661.7302332,1,fist
-1,-2,-1,1,0,2,1,0,1782731661.7302332,1,fist
-1,-1,1,-3,-3,-2,-3,1,1782731661.7303848,1,fist
-1,-1,0,0,0,-2,-5,-2,1782731661.7303848,1,fist
-1,0,-1,-2,-1,-2,-1,-1,1782731661.74581,1,fist
0,0,0,0,-1,0,-1,1,1782731661.74581,1,fist
-2,2,0,-1,1,-2,-3,-2,1782731661.759572,1,fist
-1,-3,0,0,-2,-1,-1,0,1782731661.759572,1,fist
-2,-1,-2,-1,0,-1,-1,-1,1782731661.759679,1,fist
-3,-2,0,-1,-1,1,2,0,1782731661.759679,1,fist
-1,-1,0,0,0,-1,-7,-5,1782731661.7760692,1,fist
0,0,-2,-6,-5,-4,0,0,1782731661.7760692,1,fist
-1,-1,-2,5,0,4,-1,1,1782731661.791778,1,fist
-1,-1,1,1,0,-1,2,1,1782731661.791778,1,fist
-1,-1,-2,-1,0,1,-4,-2,1782731661.792133,1,fist
1,-1,-1,1,0,1,9,0,1782731661.792133,1,fist
0,-1,0,-3,-2,-2,-1,-2,1782731661.8063731,1,fist
-2,0,-2,-5,-4,-2,2,1,1782731661.8063731,1,fist
-1,0,-1,0,-1,1,0,-2,1782731661.8208508,1,fist
-2,-1,-1,-1,-2,0,-7,-1,1782731661.8208508,1,fist
1,0,-3,-1,0,-1,-1,0,1782731661.821069,1,fist
-1,-1,1,-1,-3,1,-2,-1,1782731661.821069,1,fist
0,-1,-1,0,-1,-2,0,0,1782731661.8378298,1,fist
-1,-1,-1,1,0,0,-2,-1,1782731661.8378298,1,fist
0,-2,-1,-1,-1,-3,1,0,1782731661.851056,1,fist
0,0,-1,0,-2,-2,-5,-1,1782731661.851056,1,fist
-2,-2,-2,-3,-2,2,5,1,1782731661.851187,1,fist
0,-2,-2,-1,-1,-4,-3,1,1782731661.851187,1,fist
-4,-1,0,1,0,1,-3,-2,1782731661.865178,1,fist
2,-1,-3,-7,0,-6,-5,2,1782731661.865178,1,fist
-2,-2,-3,-9,1,-3,-1,-2,1782731661.881631,1,fist
-1,0,2,22,5,-5,-7,1,1782731661.881631,1,fist
2,0,0,-18,-7,3,4,-1,1782731661.881666,1,fist
0,0,-3,9,4,5,-4,-2,1782731661.881666,1,fist
-1,-1,2,2,-1,-1,6,-1,1782731661.8953228,1,fist
1,1,-5,-18,-4,-2,-10,2,1782731661.8953228,1,fist
-4,-3,-4,-2,-4,-6,-7,-8,1782731661.911353,1,fist
-2,-1,3,17,4,-7,-6,-1,1782731661.911353,1,fist
-2,-1,-3,-49,-11,2,-5,-1,1782731661.911608,1,fist
-1,1,6,82,18,7,10,1,1782731661.911608,1,fist
1,4,7,-21,6,-4,6,4,1782731661.925975,1,fist
-1,-2,-4,-15,4,1,17,2,1782731661.925975,1,fist
-3,-7,-11,-5,-7,6,-1,-3,1782731661.9419992,1,fist
-3,0,3,13,15,-6,-23,-7,1782731661.9419992,1,fist
-2,0,1,21,-7,-7,-9,-2,1782731661.942116,1,fist
-1,0,0,-19,-5,-14,-12,1,1782731661.942116,1,fist
3,1,0,7,3,-15,14,4,1782731661.9551308,1,fist
4,0,-8,-17,-5,62,4,3,1782731661.9551308,1,fist
-3,-4,1,25,7,-9,-10,-5,1782731661.9700632,1,fist
3,1,2,-24,-9,30,6,3,1782731661.9700632,1,fist
-4,-2,1,0,-11,-38,-11,-5,1782731661.97051,1,fist
0,-2,-1,-34,-9,-74,-12,4,1782731661.97051,1,fist
-7,-6,-11,-3,4,-9,-25,-11,1782731661.9873931,1,fist
2,0,-3,26,-18,46,25,-2,1782731661.9873931,1,fist
-21,-5,-9,-11,-3,-42,-4,-8,1782731662.000899,1,fist
6,-15,-18,-64,-38,-49,-6,-6,1782731662.000899,1,fist
12,16,45,61,92,86,28,6,1782731662.0010219,1,fist
11,13,15,1,-31,-10,14,12,1782731662.0010219,1,fist
13,8,0,1,24,58,21,11,1782731662.0154188,1,fist
-10,-9,-24,-71,-36,-84,-2,2,1782731662.0154188,1,fist
-12,-12,-36,32,-43,-12,-6,-6,1782731662.031709,1,fist
4,2,14,54,30,-2,-22,-19,1782731662.031709,1,fist
